Year,Series,Food waste sector,Units,Value
2019,Food loss index,,Tonne,46640843.73
2019,Food loss index,Households,Tonne,37941470.49
2019,Food loss index,Out-of-home Consumption,Tonne,5556256.598
2019,Food loss index,Retail,Tonne,3143116.643
2020,Food loss index,,Tonne,-
2020,Food loss index,Households,Tonne,-
2020,Food loss index,Out-of-home Consumption,Tonne,-
2020,Food loss index,Retail,Tonne,-
2021,Food loss index,,Tonne,-
2021,Food loss index,Households,Tonne,-
2021,Food loss index,Out-of-home Consumption,Tonne,-
2021,Food loss index,Retail,Tonne,-
2022,Food loss index,,Tonne,33711605.11
2022,Food loss index,Households,Tonne,24791826.12
2022,Food loss index,Out-of-home Consumption,Tonne,6804775.601
2022,Food loss index,Retail,Tonne,2115003.39
2019,Food waste index,,per capita (KG),229.4137
2019,Food waste index,Households,per capita (KG),186.6239
2019,Food waste index,Out-of-home Consumption,per capita (KG),27.3297
2019,Food waste index,Retail,per capita (KG),15.4601
2020,Food waste index,,per capita (KG),-
2020,Food waste index,Households,per capita (KG),-
2020,Food waste index,Out-of-home Consumption,per capita (KG),-
2020,Food waste index,Retail,per capita (KG),-
2021,Food waste index,,per capita (KG),-
2021,Food waste index,Households,per capita (KG),-
2021,Food waste index,Out-of-home Consumption,per capita (KG),-
2021,Food waste index,Retail,per capita (KG),-
2022,Food waste index,,per capita (KG),154.2574
2022,Food waste index,Households,per capita (KG),113.4423
2022,Food waste index,Out-of-home Consumption,per capita (KG),31.1373
2022,Food waste index,Retail,per capita (KG),9.6778
